topic,argument,key_point,stance,label
Assisted suicide should be a criminal offence,assisted suicide gives people control over their life in terrible circumstances. it allows them dignity in death rather than living in terrible conditions for many years.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide goes directly against the oath taken by doctors to do no harm. suicide is harm. there is no oversight when giving the patients the drugs. they are prescribed and the patient faces death alone.,Assisted suicide violates the doctor's role,1,1
Assisted suicide should be a criminal offence,assisted suicide helps terminally ill people end their suffering,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,Assisted suicide helps those who are in pain due to a devastating disease end their own lives on their own terms.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide involves murdering someone which is illegal and should be treated as such.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisted suicide is a blessing not a crime. a person who wants to be assisted in this is in great pain or has no ability to be cured, let someone give the suffering the chance to end it.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide is a crime and people involved should be sent to prison,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be a criminal offense,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should be treated as a crime,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is a form of murder and should never be allowed.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is a great help for people who suffer from deadly diseases and are on their deathbed,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide is a human right and would spare the terminally i'll pain.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide is a humane and caring way to allow a person to help another person whose life is too difficult to be lived properly in any manner, so it should not be criminalized.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide is a lot better than letting a person suffer until end of life.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide is a personal choice on how a person wants to live his or her life and therefore should be legal by the constitution,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide is against the oath all doctors take.,Assisted suicide violates the doctor's role,1,1
Assisted suicide should be a criminal offence,assisted suicide is another form of homicide,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is another type of murder.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is equivalent to murder and should be treated as such.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is just another form of murder. murder is illegal so assisted suicide must be illegal as well.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is just another word for murder.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is just helping a person kill a person which seems like i should be a criminal offence.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is just like accessory to murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,Assisted suicide is just murder by another name and it should be punished accordingly.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisted suicide is killing by another name - it is far too open to abuse by those with a vested interest, since it is often impossible to accurately interpret the intentions of the individual being 'assisted'.",Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,"assisted suicide is killing by another name - it is far too open to abuse by those with a vested interest, since it is often impossible to accurately interpret the intentions of the individual being 'assisted'.",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is killing someone even if it is at their request,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is murder and therefore illegal,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is murder of another and should be considered a criminal offence.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisted suicide is murder, the doctor is giving the weapon to the person with the sole purpose of death.",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is necessary in our modern world full of people dealing with pain and sorrow,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide is not only immoral but is also a form of murder and should be a criminal offence.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is nothing but murder. you are giving a human the ability to legally kill another. this should be stopped. no person should be allowed to cause a death of another.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is nothing short of murder and it should be a criminal offence.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisted suicide is really just another word for murder or homicide,",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is still one person essentially killing another,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is the same as murder and therefore should be illegal.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,Assisted suicide should be a criminal offence as if the person cannot make their own decisions and actions then it would be impossible to know if the person helping wasn't just murdering them.,People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence as it is another form of murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it causes the death of a human being just the same as if taken by a criminal.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it would be very easy to murder a vulnerable relative in order to get an inheritance.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because killing someone is wrong even if they want you to do it,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offence because pain makes people do some extreme things, but it shouldn't include death.",People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because that is murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because the person is basically killing the other person.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because what if the person being assisted was in only a bad emotional state which could be cured with professional health.,People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because at the end of the day somebody is dead and you had a hand in it.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisted suicide should be a criminal offense because death is death, at the end of the day someone is dead and you had a hand in it.",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be a criminal offense because it's just a different name for murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,Assisted suicide should be a form of murder or pre meditated murder. People should die naturally not by suicide.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisted suicide should be allowed because it allows people with terminal illnesses to die with dignity before suffering a long and painful death.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,assisted suicide should be allowed in certain circumstances such as when a person is suffering from severe illnesses.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide should be criminalized as no human being has the right to determine whether another human being lives or dies,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,assisted suicide should be made legal many people suffer with debilitating and painful illnesses and should be counselled and supported to make an informed choice,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide should be made legal so that those who have a terminal illness or are in uncurable pain can make an informed choice to end their lives with dignity surrounded by those they love.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,assisted suicide should no be considered a criminal offence because a person could really be suffering and in pain and to let them suffer is heartless and inhumane,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a crime. if someone is suffering on a daily basis from something that they are going to die from anyway, they should be allowed to die on their own terms.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.",The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,Assisted suicide should not be a criminal offence as people with no quality of life should not have to suffer indefinitely and their trusted helper should not be a criminal for helping them.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because a person should be able to decide how and when they want to die.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because if someone doesn't want to live they shouldn't be forced to,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because it helps to ease the suffering of those who will never recover from their illnesses or injuries.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offence because it is sometimes the only way a person suffering a debilitating medical condition such as motor neurone disease can end there life.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.",Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offence, because if a loved one is terminally ill, it provides them with the opportunity to die with dignity rather than suffering until they die naturally.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because if a person doesn't want to live, why should they be forced to",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because if someone is in enough pain and is sane enough to decide, they should have that choice.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense because it helps people who are in constant pain due to a terminal illness,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense because when a person get gravely ill they should not have to keep on suffering.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide should not be a criminal offense because when you get so sick with no hope left, one should be able to end the pain.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be a criminal offense since it should be a personal decision what a person wants for themselves. it could prevent months or years of pain for someone with no quality of life.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide should not be an option just because people are in pain as there are other options to help with this,Assisted suicide should not be allowed because many times people can still get better,1,1
Assisted suicide should be a criminal offence,assisted suicide shouldn't be a criminal offence because every human being should have the right to have someone assist them in passing should they determine they no longer wish to live,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide shouldn't be a criminal offence because sometimes the person is in such pain or has no life just laying around in a bed,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"assisted suicide shouldn't be a criminal offence if they are suffering from an incurable disease, they are going to die anyway",The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,assisted suicide sometimes is the only thing that ends suffering.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide usually involves a terminal medical patient that is tired of fighting and being in agony. they should be allowed to 'check out' and receive help doing so.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,assisted suicide would relieve much suffering by those with a terminal illness that is too much to bear.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide would save terminally i'll people pain and suffering.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisted suicide would save terminally i'll people pain and suffering.,The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,assisted suicides are less painful and are an act of mercy,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisting a suicide for medical reasons should not be considered a criminal offense because the person is making sound judgements based on someone else's suffering.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,assisting someone with suicide is equivalent to murder and that person has a moral obligation to report that persons intentions to authorities,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisting suicide is the same of assisting murder. both are crimes.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assisting to suicide is still an accessory to murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"assisting with suicide is helping kill someone, and should be treated as such. the intent of the victim doesn't matter, murder is murder.",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,assited suicide allows those with a painful and terminal illness the ability to chose to end their life to cease the pain and suffering that would last for the end of their lives.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"being able to die with dignity should be a right. when someone thinks their time has come, they should be able to die comfortable without worrying if having their loved ones nearby would get them jail time.",Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,"being able to die with dignity should be a right. when someone thinks their time has come, they should be able to die comfortable without worrying if having their loved ones nearby would get them jail time.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,Death with dignity is having the option to decide your own fate. You're able to take control of your own fate. It allows you to leave the world with your true self intact.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,Death with dignity is having the option to decide your own fate. You're able to take control of your own fate. It allows you to leave the world with your true self intact.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,doctors take an oath to do no harm - assisting in suicide violates this,Assisted suicide violates the doctor's role,1,1
Assisted suicide should be a criminal offence,ending a life is a crime no matter the reason.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,ending a life is unlawful regardless of the reason.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"everyone should have the right to chose the direction they want to take, if someone is in unbearable pain with no quality of life then they should have the right to seek assistance.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"everyone should have the right to chose the direction they want to take, if someone is in unbearable pain with no quality of life then they should have the right to seek assistance.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"for those with degenerative diseases, assisted suicide is often the only solace they have",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"for those with degenerative diseases, assisted suicide is often the only solace they have",The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,Giving someone the medicine to end a life other than natural causes is assisting in murder.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,helping a human being to commit suicide devalues human life and can lead to deaths of unstable people who are not mentally competent to make the decision. it should be criminalized.,People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,helping someone commit suicide is like killing them yourself.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,helping someone kill themself is murder,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,helping someone to commit suicide is murder and should be criminalized,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"if a patient is suffering with cancer or other painful conditions, they should have a right to end their suffering",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"If a person is already diagnosed with only a short time to live and is undergoing excruciating pain, assisted death is a compassionate support for the person.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"If a person only has weeks to live, then assisted suicide may be the answer if all other possibilities have been exhaussted.",The terminally ill would benefit from assisted suicide,-1,1
Assisted suicide should be a criminal offence,if a person who is dying anyway wants to end their life in a peaceful way then they should be able to do so.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,if not a criminal offence it could encourage murder under the guise of assisted suicide that would be difficult to prove.,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,if people has a life ending illness they should be allowed to die,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"if someone has an illness and is in constant pain, helping them end their misery is the humane thing to do and should be understood.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"if someone is suffering from an incurable disease and is in great pain, it can be humane to help end their suffering.",Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"if someone wants to die they shouldn't have to stay alive, so helping them to die is the beat thing to do. that shouldn't be a criminal offence.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"if to a reasonable degree of medical certainty the medical condition of a person is irreversible, it must have the right to terminate his life by requesting assistance without consequences for the fact.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"if you help someone kill themselves that is murder, and should be punished.",Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,it helps relieve some people from tremendous suffering,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,It is a criminal offense to kill someone and that is what someone assisting a person in committing suicide is doing.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,it is more humane to help the person die than to let them suffer excruciating pain,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,it is possible that this could be used as a murder in some cases.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,it is unfair to force someone with a terminal illness to continue to suffer greatly when they are just dying anyway. the only humane and compassionate way to help them is to allow assisted suicide.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,it should be a criminal offence because someone that may feel suicidal now might not feel that ay a few weeks down the line. they could go on to live a normal life if they get over the suicidal thoughts.,Assisted suicide should not be allowed because many times people can still get better,1,1
Assisted suicide should be a criminal offence,it should be a criminal offense to assist in a suicide because that is murder.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,it shouldn't be an offence because is someone is seriously ill and in pain they have the right to end their own life if they are suffering.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,it shouldn't be an offence because is someone is seriously ill and in pain they have the right to end their own life if they are suffering.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,killing another person is wrong and should be banned,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,many people are suffering terribly but are physically incapable of dying on their own,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"many people do not have the mental capacity to comprehend the finality of assisted suicide and it will be abused, and it should be a criminal offence to any persons involved.",People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,many people face a cruel and protracted period of suffering before their death so with compassion they should be helped therefore assisted suicide should not be a criminal offence.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,Murder is murder no matter the circumstances,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,"no doctor should take part in killing , it is their job to heal",Assisted suicide violates the doctor's role,1,1
Assisted suicide should be a criminal offence,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not,People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,no one should be able to get away with assisting suicide. it is nothing more than glorified murder. assisting should be replaced by helping these people find a better way to cope with their lives.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,no other person should help you take your life,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,no-one has the right to play god and decide to help another person to die.,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,nobody has the right to take a life.,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,nobody has the right to take someone else's life.,People do not have the right to self-harm/harm others,1,1
Assisted suicide should be a criminal offence,People and family members must decide what they want to do with their life and body,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.",Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,"people have a basic right to bodily autonomy, deciding whether or not to die with minimal suffering and dignity is integral to that right.",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people have the right to die on their own terms and in their own time,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people have the right to their bodies and if they wish to die they should be able to get help to do so.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people may easily be manipulated into being a victim of assisted suicide by relatives with alterior motives,Assisted suicide allows people to solicit someone to die to their own benefit,1,1
Assisted suicide should be a criminal offence,people must be able to decide what to do or not with their lives therefore assisted suicide is an alternative,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people need to die on their own as this would be almost like murder.,Assisted suicide is akin to killing someone,1,1
Assisted suicide should be a criminal offence,People should be able to ask for help in ending their own life if they are living with an incurable disease.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people should be allowed to die with dignity if they choose to.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,people should be allowed to die with dignity if they choose to.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people should be allowed to die with dignity instead of suffering a long painful death.,Assisted suicide gives dignity to the person that wants to commit it,-1,1
Assisted suicide should be a criminal offence,people should be free to help people out of their pain by helping them commit suicide without the fear of prosecution,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,"people should choose what to do with their lives, even if it means ending it in whatever manner they choose",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"people should have the right to decide how and when they want to die, particularly if they are suffering from a terminal illness",People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people should have the right to die if they choose.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people should have the right to die. some people who are severely suffering without hope should be able to end their lives. sometimes this cannot be done without assistance.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,people should have the right to die. some people who are severely suffering without hope should be able to end their lives. sometimes this cannot be done without assistance.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people that are terminally ill should be able to choose whether they want to have to live suffering or whether they want to end the pain.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,"People wanting to commit suicide need mental and emotional help, not help in carrying out their plans to end their own lives.",People who are ill do not have clear judgement and are in need of help,1,1
Assisted suicide should be a criminal offence,people who are suffering with terminal illnesses with no hope of cure and in immense pain should be allowed to end their suffering. it's safer and painless done in a doctor's care rather than their own devices.,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,people who are suffering with terminal illnesses with no hope of cure and in immense pain should be allowed to end their suffering. it's safer and painless done in a doctor's care rather than their own devices.,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people who are terminally ill and don't want to suffer any more have a right to ask for help to end their lives,Assisted suicide reduces suffering,-1,1
Assisted suicide should be a criminal offence,people who are terminally ill and don't want to suffer any more have a right to ask for help to end their lives,People should have the freedom to choose to end their life,-1,1
Assisted suicide should be a criminal offence,people who are terminally ill and suffering greatly should have the right to end their own life if they so desire.,Assisted suicide reduces suffering,-1,1
