topic,stance,argument,matched_kp(group),confidence_score(group),matched_kp(1by1),confidence_score(1by1)
Assisted suicide should be a criminal offence,1,assisted suicide is a crime and people involved should be sent to prison,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is a form of murder and should be a criminal offense,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",1.0
Assisted suicide should be a criminal offence,1,assisted suicide is a form of murder and should be treated as a crime,assisted suicide is a form of murder and should be treated as a crime,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.95
Assisted suicide should be a criminal offence,1,assisted suicide is a form of murder and should never be allowed.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is against the oath all doctors take.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisted suicide constitutes murder and necessitates criminal punishment.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide is another form of homicide,assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is another type of murder.,assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is equivalent to murder and should be treated as such.,assisted suicide is equivalent to murder and should be treated as such,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is heartless and inhumane,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is immoral and a crime,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",1.0
Assisted suicide should be a criminal offence,1,assisted suicide is just another form of murder. murder is illegal so assisted suicide must be illegal as well.,assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is just another word for murder.,assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is just helping a person kill a person which seems like i should be a criminal offence.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is just like accessory to murder,assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,Assisted suicide is just murder by another name and it should be punished accordingly.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is just murder by another name and it should be punished accordingly.,1.0
Assisted suicide should be a criminal offence,1,"assisted suicide is killing by another name - it is far too open to abuse by those with a vested interest, since it is often impossible to accurately interpret the intentions of the individual being 'assisted'.",assisted suicide is murder and should be illegal,0.95,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is killing someone even if it is at their request,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is murder and therefore illegal,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is murder of another and should be considered a criminal offence.,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,"assisted suicide is murder, the doctor is giving the weapon to the person with the sole purpose of death.",assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is not only immoral but is also a form of murder and should be a criminal offence.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide is nothing but murder. you are giving a human the ability to legally kill another. this should be stopped. no person should be allowed to cause a death of another.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is nothing short of murder and it should be a criminal offence.,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,"assisted suicide is really just another word for murder or homicide,",assisted suicide is just another form of murder,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is still one person essentially killing another,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,"assisted suicide is still suicide, which is immoral in all forms.",assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,"assisted suicide is still suicide, which is wrong in all forms.",assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is the same as murder and therefore should be illegal.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide is too dangerous as if someone is weak and feeble a manipulative person could encourage them to kill themselves when they do not really want to.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide is unethical how do we know that the person who is assisting the suicide hasnt got something to gain from the death of the other person,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.8
Assisted suicide should be a criminal offence,1,Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
Assisted suicide should be a criminal offence,1,Assisted suicide should be a criminal offence as if the person cannot make their own decisions and actions then it would be impossible to know if the person helping wasn't just murdering them.,assisted suicide is murder and should be illegal,0.95,Assisting in suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence as it is another form of murder,assisted suicide is just another form of murder,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",1.0
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because after they are dead no one will know what actually happened whether it was assisted suicide or if it was murder,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because againts the god's law,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it causes the death of a human being just the same as if taken by a criminal.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it could force some doctors to perform this act without their consent,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisted suicide constitutes murder and necessitates criminal punishment.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it does not allow a person to die a natural death.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it is morally wrong,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because it would be very easy to murder a vulnerable relative in order to get an inheritance.,assisted suicide is murder and should be illegal,0.95,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because killing is wrong whether it is willingly or not,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because killing someone is wrong even if they want you to do it,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,"assisted suicide should be a criminal offence because pain makes people do some extreme things, but it shouldn't include death.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisted suicide constitutes murder and necessitates criminal punishment.,0.8
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because people shouldn't be able to help murder others,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because that is murder,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because the person is basically killing the other person.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence because what if the person being assisted was in only a bad emotional state which could be cured with professional health.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offence for the god's law. god decide your life.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offense because at the end of the day somebody is dead and you had a hand in it.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,"assisted suicide should be a criminal offense because death is death, at the end of the day someone is dead and you had a hand in it.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,assisted suicide should be a criminal offense because it's just a different name for murder,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,Assisted suicide should be a form of murder or pre meditated murder. People should die naturally not by suicide.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide should be criminalized as no human being has the right to determine whether another human being lives or dies,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,assisted suicide should not be an option just because people are in pain as there are other options to help with this,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.8,"Assisted suicide should not be an option just because people are in pain as there are other options to help with this,",0.2
Assisted suicide should be a criminal offence,1,assisting someone with suicide is equivalent to murder and that person has a moral obligation to report that persons intentions to authorities,assisted suicide is equivalent to murder and should be treated as such,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,assisting suicide is the same of assisting murder. both are crimes.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,assisting to suicide is still an accessory to murder,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,"assisting with suicide is helping kill someone, and should be treated as such. the intent of the victim doesn't matter, murder is murder.",assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,doctors take an oath to do no harm - assisting in suicide violates this,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisting in suicide constitutes murder and necessitates criminal punishment.,0.8
Assisted suicide should be a criminal offence,1,ending a life is a crime no matter the reason.,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,ending a life is unlawful regardless of the reason.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,Giving someone the medicine to end a life other than natural causes is assisting in murder.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,helping a human being to commit suicide devalues human life and can lead to deaths of unstable people who are not mentally competent to make the decision. it should be criminalized.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.95,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,Helping people die because of tough times in their life is not right. There are many tools to help people get through bad times and helping them die is like pulling the trigger.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,helping someone commit suicide is like killing them yourself.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,helping someone kill themself is murder,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,helping someone to commit suicide is murder and should be criminalized,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,i think that an assisted suicide should be a criminal offence because is not legal,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,The belief that assisted suicide should be criminalized stems from the premise that it is currently illegal.,0.8
Assisted suicide should be a criminal offence,1,if not a criminal offence it could encourage murder under the guise of assisted suicide that would be difficult to prove.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,if we make it a criminal offence then it may discourage people from committing suicide due to the repercussions that their families may face.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.8
Assisted suicide should be a criminal offence,1,"if you help someone kill themselves that is murder, and should be punished.",assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,It is a criminal offense to kill someone and that is what someone assisting a person in committing suicide is doing.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,it is possible that this could be used as a murder in some cases.,assisted suicide is murder and should be illegal,0.95,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,it should be a criminal offence because someone that may feel suicidal now might not feel that ay a few weeks down the line. they could go on to live a normal life if they get over the suicidal thoughts.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,it should be a criminal offense to assist in a suicide because that is murder.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,killing another person is wrong and should be banned,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,Legalizing assisted suicide may cause undo stress on other people with terminal illnesses. It might cause them to wonder if they are an undo burden on friends and family.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.6,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.7
Assisted suicide should be a criminal offence,1,"many people do not have the mental capacity to comprehend the finality of assisted suicide and it will be abused, and it should be a criminal offence to any persons involved.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisted suicide is equated with murder.,0.9
Assisted suicide should be a criminal offence,1,Murder is murder no matter the circumstances,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,"no doctor should take part in killing , it is their job to heal",assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,0.8
Assisted suicide should be a criminal offence,1,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.95,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,no one should be able to get away with assisting suicide. it is nothing more than glorified murder. assisting should be replaced by helping these people find a better way to cope with their lives.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,no one should have the right to take a life.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,no other person should help you take your life,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,no-one has the right to play god and decide to help another person to die.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,nobody has the right to take a life.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,nobody has the right to take someone else's life.,assisted suicide is murder and should be illegal,1.0,Assisted suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,people may easily be manipulated into being a victim of assisted suicide by relatives with alterior motives,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
Assisted suicide should be a criminal offence,1,people need to die on their own as this would be almost like murder.,assisted suicide is murder and should be illegal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,"People wanting to commit suicide need mental and emotional help, not help in carrying out their plans to end their own lives.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.8,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,providing someone the means to kill themselves is equivalent to pulling the trigger yourself,assisted suicide is equivalent to murder and should be treated as such,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,Some people would fake assisted suicide to actually murder someone.,assisted suicide is a form of murder and should be treated as a crime,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,"some vulnerable people might feel pressure to end their lives to ease their families. therefore, assisted suicide shouldn't be legal.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.8
Assisted suicide should be a criminal offence,1,someone who would assist another person attempt suicide should be locked up. these people need help to be convinced that suicide is not the answer rather than assisted in their task.,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Assisting in suicide constitutes murder and necessitates criminal punishment.,0.9
Assisted suicide should be a criminal offence,1,"suicide has never been legal. it is still killing, even if one is taking ones own life.",assisted suicide is murder and should be illegal,1.0,The belief that assisted suicide should be criminalized stems from the premise that it is currently illegal.,0.7
Assisted suicide should be a criminal offence,1,"suicide in some countries is considered a crime for attempting against life itself, assisted suicide is the same",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,"suicide is a criminal offense, thus assisting in suicide would be acting as an accomplice to murder.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,suicide is a form of murder and those who attempt it can be convicted. assisting someone to commit suicide can therefore be considered an accomplice.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,"suicide is illegal and so is killing, so how is assisted suicide going to be legal?",assisted suicide is murder and should be illegal,1.0,The belief that assisted suicide should be criminalized stems from the premise that it is currently illegal.,0.8
Assisted suicide should be a criminal offence,1,suicide is never the answer and it is wrong,assisted suicide is murder and should be illegal,0.95,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,suicide should never be allowed and helping a person should be treated as murder. no person has the right to take a life. each person should be treated humanely and encouraged to live their natural life span.,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,TAKING A LIFE SHOULD BE WRONG REGARDLESS OF THE REASON IT IS BEING DONE,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,"The Hippocratic Oath states, ""First, do no harm"" - assisted suicide violates a doctor's duty not to do harm to a patient.",assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.8
Assisted suicide should be a criminal offence,1,the person assisting in an assisted suicide is committing murder and should be charged,assisted suicide is murder and should be illegal,1.0,Assisting in suicide constitutes murder and necessitates criminal punishment.,1.0
Assisted suicide should be a criminal offence,1,the sanctity of human life should never be compromised so there is no question but assisted suicide should be a criminal offence.,assisted suicide is murder and should be illegal,1.0,"Assisted suicide constitutes glorified murder, hence it should be a criminal offence, with focus on providing support for better coping mechanisms.",0.9
Assisted suicide should be a criminal offence,1,there is no difference between assisted suicide and being an accessory to murder. suicide is immoral and those that help should be punished.,assisted suicide is equivalent to murder and should be treated as such,1.0,Assisted suicide is equated with murder.,1.0
Assisted suicide should be a criminal offence,1,there is no safe system of assisted suicide and euthanasia anywhere in the world,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,"there is no safe system of assisted suicide and euthanasia anywhere in the world,",0.6
Assisted suicide should be a criminal offence,1,there is too much potential for exploitation of assisted suicide by malicious relatives that it should be banned as a matter of individual safety,assisted suicide is a criminal offense because it causes the death of a human being just the same as if taken by a criminal,0.9,Criminalizing assisted suicide is essential to safeguard vulnerable individuals from being exploited for financial gain by greedy relatives.,0.9
